collection__uuid,artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__people__author,artifact__people__editor,file__url,file__language,file__pages
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Victorian Government re Skills for Victoria’s Growing Economy (Macklin Review),,report,2020-06-01,,,http://library.bsl.org.au/showitem.php?handle=1/12046,,,http://library.bsl.org.au/showitem.php?handle=1/12046,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Climate Change Authority review of the Emissions Reduction Fund,,report,2020-06-01,,,http://library.bsl.org.au/showitem.php?handle=1/12045,,,http://library.bsl.org.au/showitem.php?handle=1/12045,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Older people and aged care (COVID-19 Insights),,report,,2020,,http://library.bsl.org.au/showitem.php?handle=1/12028,Amber Mills|James Finnis,,http://library.bsl.org.au/showitem.php?handle=1/12028,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Hidden in plain sight: the impact of the COVID-19 response on mature-age low-income people in Australia,"The crisis may be easing, but for mature-age, low-income Australians the consequences are likely to persist. New research shines a light on this group who have so far been overlooked.",report,,2020,,https://www.bsl.org.au/research/publications/hidden-in-plain-sight-the-impact-of-the-covid-19-response-on-mature-age-low-income-people-in-australia/,"Amber Mills, Suyin Ng, James Finnis, Kate Grutzner|Bhairavi Raman",,http://library.bsl.org.au/showitem.php?handle=1/12062,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Trampolines not traps: enabling economic security for single mothers and their children,"What needs to change, for single mothers to be able to build a secure future for their families?",report,,2020,,https://www.bsl.org.au/research/publications/trampolines-not-traps/,Dina Bowman|Seuwandi Wickramasinghe,,http://library.bsl.org.au/showitem.php?handle=1/12203,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Joint submission to the Royal Commission on Aged Care Quality and Safety,,report,2020-05-01,,,http://library.bsl.org.au/showitem.php?handle=1/12031,,,http://library.bsl.org.au/showitem.php?handle=1/12031,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,People with disability (COVID-19 Insights),,report,,2020,,http://library.bsl.org.au/showitem.php?handle=1/11970,Diane Brown,,http://library.bsl.org.au/showitem.php?handle=1/11970,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,COVID-19: opportunities for a better future,,report,2020-05-01,,,http://library.bsl.org.au/showitem.php?handle=1/11973,,,http://library.bsl.org.au/showitem.php?handle=1/11973,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to DET Review into Vocational and Applied Learning Pathways in Secondary Schooling,,report,2020-05-01,,,http://library.bsl.org.au/showitem.php?handle=1/12033,,,http://library.bsl.org.au/showitem.php?handle=1/12033,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Councils as employers of choice: how hiring and procurement decisions can create employment for people with disability,How can local governments create employment opportunities for people with disability?,report,,2020,,https://www.bsl.org.au/research/publications/councils-as-employers-of-choice-how-hiring-and-procurement-decisions-can-create-employment-for-people-with-disability/,Maria Mupanemunda,,http://library.bsl.org.au/showitem.php?handle=1/11884,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Economic dignity and financial capabilities: connecting principles and concepts,"The concept of economic dignity extends how we understand financial capability. It is not just about people having knowledge and skills, but also about how social and economic structures and systems shape their choices.",report,,2020,,https://www.bsl.org.au/research/publications/economic-dignity-and-financial-capabilities-connecting-principles-and-concepts/,Jeremiah Thomas Brown,,http://library.bsl.org.au/showitem.php?handle=1/11928,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Purchasing with purpose: tools to develop an organisational strategy for social procurement,This resource provides two tools to help organisations plan their purchasing and procurement to achieve social benefits.,report,,2020,,https://www.bsl.org.au/research/publications/purchasing-with-purpose-tools-to-develop-an-organisational-strategy-for-social-procurement/,Maria Mupanemunda,,http://library.bsl.org.au/showitem.php?handle=1/11885,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Who gets what where: review of government-funded youth employment programs across Australia,This paper identifies the range of current government-funded employment programs for which young people may be eligible.,report,,2020,,https://www.bsl.org.au/research/publications/who-gets-what-where-review-of-government-funded-youth-employment-programs-across-australia/,Miranda Cross,,http://library.bsl.org.au/showitem.php?handle=1/11882,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Economic security and dignity: a financial wellbeing framework,Our new framework explores what is needed for all Australians to enjoy financial wellbeing.,report,,2020,,https://www.bsl.org.au/research/publications/economic-security-and-dignity-a-financial-wellbeing-framework/,Jeremiah Thomas Brown & Dina Bowman,,http://library.bsl.org.au/showitem.php?handle=1/11926,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Finding that spark: what works to achieve effective employment services for young people?,What works to achieve effective employment services for young people? This report presents lessons from the evaluation of the Transition to Work Community of Practice,report,,2020,,https://www.bsl.org.au/research/publications/finding-that-spark-what-works-to-achieve-effective-employment-services-for-young-people/,Sharon Bond|Deborah Keys,,http://library.bsl.org.au/showitem.php?handle=1/11977,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Inquiry into Homelessness in Victoria,,report,2020-03-01,,,http://library.bsl.org.au/showitem.php?handle=1/11923,,,http://library.bsl.org.au/showitem.php?handle=1/11923,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Royal Commission into Aged Care Quality and Safety,,report,2020-03-01,,,http://library.bsl.org.au/showitem.php?handle=1/11869,,,http://library.bsl.org.au/showitem.php?handle=1/11869,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission regarding consumer protections in an evolving market: traditional sale of energy,,report,2020-02-01,,,http://library.bsl.org.au/showitem.php?handle=1/11844,,,http://library.bsl.org.au/showitem.php?handle=1/11844,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission regarding the AER’s Draft Customer Service Incentive Scheme,,report,2020-02-01,,,http://library.bsl.org.au/showitem.php?handle=1/11851,,,http://library.bsl.org.au/showitem.php?handle=1/11851,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Retirement Income Review,,report,2020-02-01,,,http://library.bsl.org.au/showitem.php?handle=1/11805,,,http://library.bsl.org.au/showitem.php?handle=1/11805,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission regarding target-setting for Victorian Energy Upgrades,,report,2020-01-01,,,http://library.bsl.org.au/showitem.php?handle=1/11843,,,http://library.bsl.org.au/showitem.php?handle=1/11843,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission regarding options for addressing risks from open-flued gas space heaters in Victoria,,report,2020-01-01,,,http://library.bsl.org.au/showitem.php?handle=1/11804,,,http://library.bsl.org.au/showitem.php?handle=1/11804,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Education Council Review of Senior Secondary Pathways,,report,2019-12-01,,,http://library.bsl.org.au/showitem.php?handle=1/11782,,,http://library.bsl.org.au/showitem.php?handle=1/11782,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission regarding energy efficiency provisions of Residential Tenancies Regulations 2020,,report,2019-12-01,,,http://library.bsl.org.au/showitem.php?handle=1/11775,,,http://library.bsl.org.au/showitem.php?handle=1/11775,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Prosperity's children: youth unemployment in Australia,"Some 46,000 young Australians were long-term unemployed, and 265,000 in the unemployment queue in October 2019, research for the Youth Unemployment Monitor December 2019 showed.",report,,2019,,https://www.bsl.org.au/research/publications/prosperitys-children/,Brotherhood of St. Laurence,,http://library.bsl.org.au/showitem.php?handle=1/11694,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission to the Inquiry into Early Childhood Engagement of CALD Communities,,report,2019-12-01,,,http://library.bsl.org.au/showitem.php?handle=1/11753,,,http://library.bsl.org.au/showitem.php?handle=1/11753,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Submission re Co-designing the National Skills Commission,,report,2019-11-01,,,http://library.bsl.org.au/showitem.php?handle=1/11783,,,http://library.bsl.org.au/showitem.php?handle=1/11783,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,VET: the international context,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11490,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11490,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Apprenticeships and traineeships,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11489,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11489,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,VET in Victoria,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11488,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11488,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Emerging skills and competencies and VET's response,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11487,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11487,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Funding regimes in Australia's VET sector,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11486,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11486,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,The architecture of Australia's VET sector,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11485,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11485,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Participation and transitions in Australia's VET system,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11484,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11484,,
2dcb7b8e-71ad-4c9a-b018-994cda9ed0cb,Australia's VET sector since the mid-1970s,,report,,2019,,http://library.bsl.org.au/showitem.php?handle=1/11483,George Myconos,,http://library.bsl.org.au/showitem.php?handle=1/11483,,
