artifact__title,artifact__summary,artifact__type,artifact__date_published,artifact__date_published_year,artifact__date_circa,artifact__uri,artifact__publication_place,artifact__publisher,artifact__tags,collection__uuid,file__content_type,file__name,file__media_type,file__uuid,file__url,file__language,file__fulltext_s3_url,file__fulltext_paginated_s3_url,file__toc,file__viewer_settings,file__size,file__pages,file__key_terms,file__file_hash,artifact__people_author,atrifact__doi
"
          Hybrid Power Plant Bidding in Models of Future Electricity Systems        ","This paper proposes a stochastic model for hybrid power plants participation in day-ahead electricity markets, considering uncertainty in market prices and renewable generation. Additionally, it presents a methodology to incorporate this hybrid participation into existing production cost models (PCM), allowing the analysis and market design of future systems with high penetration of hybrids. These developments are illustrated using a wind-battery hybrid located in New York Independent System Operator (NYISO) footprint.",proceedings,,2023,,https://eta-publications.lbl.gov/publications/hybrid-power-plant-bidding-models,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/pesgm_hybridbidding_revised_v0_preprint.pdf,,,,,,,,,,Julie Mulvaney Kemp|Miguel  Heleno|Andrew D Mills,https://dx.doi.org/10.1109/PESGM52003.2023.10252335
"
          HVAC and Control Templates for the Modelica Buildings Library        ",systems with thousands of configurations and closed-loop ,conference-paper,,2023,,https://eta-publications.lbl.gov/publications/hvac-and-control-templates-modelica,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/gautier-hvac_and_control_templates_for_the_modelica_buildings_library-112_a_0.pdf,,,,,,,,,,Antoine  Gautier|Michael  Wetter|Jianjun  Hu|Hubertus  Tummescheit,https://dx.doi.org/10.3384/ecp204217
"
          The Latest Market Data Show that the Potential Savings of New Electric Transmission was Higher Last Year than at Any Point in the Last Decade        ",,brief,,2023,,https://eta-publications.lbl.gov/publications/latest-market-data-show-potential,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl-transmissionvalue-fact_sheet-2022update-20230203.pdf,,,,,,,,,,Dev  Millstein|Ryan H Wiser|Seongeun  Jeong|Julie Mulvaney Kemp,
"
          A labeled dataset for building HVAC systems operating in faulted and fault-free states        ",,article,,2023,,https://eta-publications.lbl.gov/publications/labeled-dataset-building-hvac-systems,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/a_labeled_dataset_for_building_hvac_systems.pdf,,,,,,,,,,Jessica  Granderson|Guanjing  Lin|Yimin  Chen|Armando  Casillas|Jin  Wen|Zhelun  Chen|Piljae  Im|Sen  Huang|Jiazhen  Ling,https://dx.doi.org/10.1038/s41597-023-02197-w
"
          Oxidation of Porous Stainless Steel Supports for Metal-Supported Solid Oxide Electrolysis Cells        ","Oxidation behavior of porous P434L ferritic stainless steel, used for the fabrication of metal-supported solid oxide electrolysis cells (MS-SOEC), is studied under oxygen-side and steam-side conditions. The impact of oxygen content on the oxygen side and steam:hydrogen ratio on the steam side is determined at 700 °C for bare, as-sintered samples. For these conditions, oxidation is more aggressive in the steam-side atmosphere. Oxygen with 3% humidification and steam:hydrogen ratio of 90:10 are selected for further assessment with pre-oxidized, catalyst-coated, and CuMn",article,,2023,,https://eta-publications.lbl.gov/publications/oxidation-porous-stainless-steel-0,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/ms_soec_oxidation_r1_no_highlights_-_michael_tucker.docx_0.pdf,,,,,,,,,,Michael C Tucker|Fengyu  Shen|Martha  Welander,
"
          Using Field-Metered Data to Characterize Consumer Usage Patterns of Residential Dishwashers        ",,report,,2023,,https://eta-publications.lbl.gov/publications/using-field-metered-data-characterize,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/dw-pecan_st_recs2020_2023-0414.pdf,,,,,,,,,,Qingyi  Sun|Jing  Ke|Camilla  Dunham|Joong Hoon Sim|Yuting  Chen,
"
          Using Energy Efficiency to Help Meet Distribution System Capacity Needs        ",,presentation-lecture,,2023,,https://eta-publications.lbl.gov/publications/using-energy-efficiency-help-meet,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/4c-pereira.pdf,,,,,,,,,,Guillermo  Pereira|Lisa C Schwartz|Natalie Mims Frick,
"
          Using Building Performance Simulation to Enhance Energy Efficiency Evaluations of Room Air Conditioners        ",,conference-paper,,2023,,https://eta-publications.lbl.gov/publications/using-building-performance-simulation,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/using_building_performance_simulation_to_enhance_energy.pdf,,,,,,,,,,Mateus Vinicius Bavaresco|Rayner Mauricioe Machado|Amanda Fraga Krelling|Won Young Park|Ana Paula Melo|Roberto  Lamberts,https://dx.doi.org/10.26868/25222708.2023.1469
"
          Accelerating Decarbonization with the California Load Flexibility Research  and Deployment Hub        ",,conference-paper,,2022,,https://eta-publications.lbl.gov/publications/accelerating-decarbonization,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/accelerating_decarbonization_with_the_california_load_flexibility_research_and_deployment_hubcombined.pdf,,,,,,,,,,Mary Ann  Piette|Jingjing  Liu|Bruce  Nordman|Sarah  Smith|Richard E Brown|Marco  Pritoni|Brian F Gerke,
"
          Carbon and Energy Cost Impacts of Electrification of Space Heating with Heat Pumps in the US        ",,article,,2022,,https://eta-publications.lbl.gov/publications/carbon-and-energy-cost-impacts,,,,8f691629-ae5d-4ba0-9250-6062a938a0ca,,,,,https://eta-publications.lbl.gov/sites/default/files/lbnl_cop_maps_.pdf,,,,,,,,,,Iain S Walker|Brennan  Less|Nuria  Casquero-Modrego,https://dx.doi.org/10.1016/j.enbuild.2022.111910
