uri,organization,collection,title,identifier,date_circa,authors,file_url,date_harvest,date_published,publisher,publication_place,props_Source,rights,rights_uri,rights_holder,tags,thumbnail_url,owner,last_modified,status,type,project,ingestion_status,ingestion_notes,ingested_url,ingested_on,subsets,language,country,series,Bucket
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/day-one-support-for-young-people-trailblazer,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Day One Support for Young People trailblazer,,,,,,2013-06-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/automatic-enrolment-evaluation-report-2014,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Automatic enrolment evaluation report 2014,,,,,,2013-05-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/new-state-pension-qualitative-research-on-the-ideal-customer-journey,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,New State Pension: qualitative research on the ideal customer journey,,,,,,2013-05-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/universal-credit-pathfinder-evaluation,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Universal Credit Pathfinder Evaluation,,,,,,2013-04-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/dwp-claimant-service-and-experience-survey-2013,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,DWP claimant service and experience survey 2013,,,,,,2013-03-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/fit-for-work-exploring-future-gp-referrals,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Fit for Work: exploring future GP referrals,,,,,,2013-03-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/household-finances-of-carers-allowance-recipients,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Household finances of Carer’s Allowance recipients,,,,,,2013-02-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/personal-independence-payment-new-claims-early-evaluation-of-process,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Personal Independence Payment new claims: early evaluation of process,,,,,,2013-01-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/dwp-employer-engagement-and-experience-survey-2013,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,DWP employer engagement and experience survey 2013,,,,,,2012-12-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
https://webarchive.nationalarchives.gov.uk/ukgwa/20160115224110mp_/https:/www.gov.uk/government/publications/small-employer-recruitment-practices,department-for-work-and-pensions-gb,department-for-work-and-pensions-gb:national-archives,Small employer recruitment practices,,,,,,2012-11-01,Department for Work and Pensions,England,The National Archives,Contains public sector information licensed under the Open Government Licence v3.0.,https://webarchive.nationalarchives.gov.uk/ukgwa/20160107144900/https://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,© Crown copyright,research|analysis,,,5/16/2024 1:26pm,,report,POCO,,,,,POCO_POGO|POCO_POGO_GB|POCO_POGO_GB_V1,en,United Kingdom (GB),,DWP Reports
